_widgetName,_source,city,location,time range,date,Lat,Long
DUI Checkpoints,DUI Checkpoints,Pacoima,Van Nuys Blvd and Remick Ave,8pm To 2am,Sat Jul 2 2016,34.257624,-118.433745
DUI Checkpoints,DUI Checkpoints,Panorama City,Van Nuys Blvd and Roscoe Blvd,8pm To 2am,Sat Jul 2 2016,34.221533,-118.448781
DUI Checkpoints,DUI Checkpoints,Los Angeles,Whittier Blvd and Goodrich Blvd,,Fri Jul 1 2016,34.019626,-118.153616
DUI Checkpoints,DUI Checkpoints,Glendale,S Brand Blvd and W Cerritos Ave,,Fri Jul 1 2016,34.125541,-118.254978
DUI Checkpoints,DUI Checkpoints,Inglewood,Manchester Blvd and West Blvd,,Fri Jul 1 2016,33.960025,-118.33513
DUI Checkpoints,DUI Checkpoints,Los Angeles,Valley Blvd and Mariondale Ave,8pm To 2am,Fri Jul 1 2016,34.074117,-118.165123
DUI Checkpoints,DUI Checkpoints,Los Angeles,W Manchester Ave and Denver Ave,8pm To 2am,Fri Jul 1 2016,33.960031,-118.283908
DUI Checkpoints,DUI Checkpoints,Los Angeles,Fairfax Ave and Maryland Dr,8pm To 2am,Fri Jul 1 2016,34.066565,-118.361392
DUI Checkpoints,DUI Checkpoints,Santa Monica,Pico Blvd and Cloverfield Blvd,7pm To 3am,Fri Jul 1 2016,34.021517,-118.4657
DUI Checkpoints,DUI Checkpoints,Alhambra,N Atlantic Blvd and N Garfield Ave,,Sat Jun 25 2016,34.10572,-118.134702
DUI Checkpoints,DUI Checkpoints,South Gate,Firestone Blvd and Rayo Ave,,Sat Jun 25 2016,33.950488,-118.17578
DUI Checkpoints,DUI Checkpoints,Marina Del Rey,Lincoln Blvd and Maxella Ave,,Sat Jun 25 2016,33.985685,-118.443396
DUI Checkpoints,DUI Checkpoints,Los Angeles,Foothill Blvd and Hubbard St - Sylmar,,Sat Jun 25 2016,34.307395,-118.430226
DUI Checkpoints,DUI Checkpoints,Arcadia,Live Oak Ave and El Capitan Ave,6pm To 2am,Fri May 27 2016,34.107683,-118.028106
DUI Checkpoints,DUI Checkpoints,San Gabriel,Las Tunas Dr and N Muscatel Ave,,Sat May 21 2016,34.103554,-118.077205
DUI Checkpoints,DUI Checkpoints,Lancaster,W Ave K and Gadsden Ave,,Fri May 20 2016,34.674899,-118.143478
DUI Checkpoints,DUI Checkpoints,Los Angeles,Colorado Blvd and Eagle Rock Blvd,,Fri May 20 2016,34.139101,-118.213988
DUI Checkpoints,DUI Checkpoints,Los Angeles,Florence Ave and S Main St,8pm To 2am,Fri May 20 2016,42.650597,-78.897878
DUI Checkpoints,DUI Checkpoints,Whittier,Mulberry Dr and Santa Fe Springs Rd,,Fri May 20 2016,33.958873,-118.05083
DUI Checkpoints,DUI Checkpoints,Malibu,Pacific Coast Hwy and John Tyle Dr,,Fri May 20 2016,34.034174,-118.710017
DUI Checkpoints,DUI Checkpoints,Hawthorne,Hawthorne Blvd and W El Segundo Blvd,,Sat May 14 2016,33.91635,-118.352734
DUI Checkpoints,DUI Checkpoints,Compton,S Central Ave and Rosecrans Ave,,Sat May 14 2016,33.902861,-118.253496
DUI Checkpoints,DUI Checkpoints,Los Angeles,Beverly Blvd and N Vermont Ave,8pm To 2am,Sat May 14 2016,34.076334,-118.291691
DUI Checkpoints,DUI Checkpoints,Hawthorne,Hawthorne Blvd and El Segundo Blvd,,Fri May 13 2016,33.91635,-118.352734
DUI Checkpoints,DUI Checkpoints,Pomona,White Ave and Mckinley Ave,,Fri May 13 2016,34.077831,-117.759799
DUI Checkpoints,DUI Checkpoints,Sun Valley,Roscoe Boulevard and Coldwater Canyon Ave,8pm To 2am,Fri May 13 2016,34.221672,-118.4144
DUI Checkpoints,DUI Checkpoints,Los Angeles,E Florence Ave and S Main St,6pm To 2am,Sat May 7 2016,33.974692,-118.273922
DUI Checkpoints,DUI Checkpoints,Canoga Park,Sherman Way and Kelvin Ave,8pm To 2am,Sat May 7 2016,34.200974,-118.586274
DUI Checkpoints,DUI Checkpoints,Los Angeles,Whittier Blvd and Hoefner Ave,,Fri May 6 2016,34.018944,-118.150348
DUI Checkpoints,DUI Checkpoints,Gardena,Rosecrans Ave and Gramercy Pl,,Fri May 6 2016,33.901929,-118.314445
